module,name,title,description,type,format,constraints.maxLength,constraints.enum,constraints.pattern,constraints.maximum,constraints.minimum,encodings,ordered,missingValues,trueValues,falseValues,repo_link,standardsMappings.type,standardsMappings.label,standardsMappings.url,standardsMappings.source,standardsMappings.id,relatedConcepts.type,relatedConcepts.label,relatedConcepts.url,relatedConcepts.source,relatedConcepts.id,univarStats.median,univarStats.mean,univarStats.std,univarStats.min,univarStats.max,univarStats.mode,univarStats.count,univarStats.twentyFifthPercentile,univarStats.seventyFifthPercentile,univarStats.categoricalMarginals.name,univarStats.categoricalMarginals.count,constraints.required,original_name,notes
Record and linkage,jdc_person_id,JCOIN data commons person identifier,The generated unique identifier specific to the JCOIN Data Commons for a given individual (client or staff).,string,,9,,[A-Z][0-9][0-9][0-9]-[0-9][0-9][0-9][0-9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,jdc_person_id,
Enrollment,quarter_enrolled,Quarter Enrolled,The financial quarter and year of enrollment,string,,6,,[0-9][0-9][0-9][0-9]Q[0-9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,quarter_enrolled,
Enrollment,state_of_site_enrollment,State of Site For Enrollment,The U.S. State abbreviation of the site where client (participant) was initially enrolled,string,,2,,[A-Z][A-Z],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,state_of_site_enrollment,
Enrollment,current_study_status,Current Study Status,A summary of the current status where client (participant) is in study,string,,,On study|Dropped out|Withdrawn by investigator|Completed study|Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,current_study_status,
Demographics,birth_date,Birth date,What is your birth date?,date,%Y%m%d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d1,
Demographics,age,Age,About how old are you? (top coded at 90),integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d1a,
Demographics,sex_at_birth,Sex at birth,What sex was originally listed on your birth certificate?,string,,,Male|Female|Decline to answer|Something else,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o1,
Demographics,gender_id,Gender Identity,What is your gender identity?,string,,,Male|Female|Transgender man/trans man/female-to-male (FTM)|Transgender woman/trans woman/male-to-female (MTF)|Genderqueer/gender nonconforming/neither exclusively male nor female|Additional gender category (or other)|Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o2,"For gender/orientation/identity, use items O1-O2 if possible, otherwise use D4a-D4c.   [Must use one or the other.]
 False if not 'Male' and not 'Transfgender' else True"
Demographics,gender_id_condensed,Gender Identity (condensed),What is your gender identity?,string,,,Male|Female|Transgender|Gender nonconforming|Something else|Not reported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d4b,"For gender/orientation/identity, use items O1-O2 if possible, otherwise use D4a-D4c.   [Must use one or the other.]"
Demographics,race_white,Race: White,[White] What is your race? SELECT ALL THAT APPLY,boolean,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,True,d3_white,
Demographics,race_black,Race: Black or African American,[Black or African American] What is your race? SELECT ALL THAT APPLY,boolean,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,True,d3_black,
Demographics,race_AIAN,Race: American Indian or Alaska Native,[American Indian or Alaska Native] What is your race? SELECT ALL THAT APPLY,boolean,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,True,d3_american_indian,
Demographics,race_hawaiian_OPI,Race: Native Hawaiian or Other Pacific Islander,[Native Hawaiian or Other Pacific Islander] What is your race? SELECT ALL THAT APPLY,boolean,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,True,d3_hawaiian,
