module,name,title,description,type,format,constraints.maxLength,constraints.enum,constraints.pattern,constraints.maximum,constraints.minimum,encodings,ordered,missingValues,trueValues,falseValues,repo_link,standardsMappings.type,standardsMappings.label,standardsMappings.url,standardsMappings.source,standardsMappings.id,relatedConcepts.type,relatedConcepts.label,relatedConcepts.url,relatedConcepts.source,relatedConcepts.id,univarStats.median,univarStats.mean,univarStats.std,univarStats.min,univarStats.max,univarStats.mode,univarStats.count,univarStats.twentyFifthPercentile,univarStats.seventyFifthPercentile,univarStats.categoricalMarginals.name,univarStats.categoricalMarginals.count,original_name,constraints.required,source
Record and linkage,jdc_person_id,JCOIN data commons person identifier,The generated unique identifier specific to the JCOIN Data Commons for a given individual (client or staff).,string,,,,[A-Z][0-9]{3}-[0-9]{4},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jdc_person_id,True,
Record and linkage,visit_number,Visit Number,A number that identifies the visit (survey administration event) or timepoint of data collection (baseline=1 and each subsequent follow up is 2 or greater).,integer,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,visit_number,True,
Record and linkage,shifted_visit_dt,Visit Date (shifted),"This is the date of the visit (ie time point of survey administration) after shifting by a random number 182 days before or 182 days after the actual visit date. The shifting is done on the individual level which retains the time interval between visits (and allows calculations of days between time points or other date fields which are shifted by the same number of days). To avoid issues with type conversion errors, the date is of type integer",date,%Y%m%d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shifted_visit_dt,True,
Record and linkage,visit_type,Visit Type,The visit type/category of the survey administration (either baseline or follow up),string,,,Baseline|Follow-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visit_type,True,
Organizational readiness for implementing change (ORIC),org_readiness_confidence,Confidence to implement,Rate each of the following statements on a 5-point scale where 1=Disagree and 5=Agree [People who work here feel confident that the organization can get people invested in implementing [intervention].]],string,,,1 Disagree|2|3|4|5 Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or1,,"Shea et al., 2014  - Organizational Readiness for Implementing Change: A psychometric assessment of a 
new measure.  Implementation Science 9:7. https://doi.org/10.1186/1748-5908-9-7"
Organizational readiness for implementing change (ORIC),org_readiness_commitment,Commitment to implement,Rate each of the following statements on a 5-point scale where 1=Disagree and 5=Agree [People who work here feel committed to implementing [intervention].],string,,,1 Disagree|2|3|4|5 Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or2,,"Shea et al., 2014  - Organizational Readiness for Implementing Change: A psychometric assessment of a 
new measure.  Implementation Science 9:7. https://doi.org/10.1186/1748-5908-9-8"
Organizational readiness for implementing change (ORIC),org_readiness_tracking,Confidence in tracking,Rate each of the following statements on a 5-point scale where 1=Disagree and 5=Agree [People who work here feel confident that they can keep track of progress in implementing [intervention].],string,,,1 Disagree|2|3|4|5 Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or3,,"Shea et al., 2014  - Organizational Readiness for Implementing Change: A psychometric assessment of a 
new measure.  Implementation Science 9:7. https://doi.org/10.1186/1748-5908-9-9"
Organizational readiness for implementing change (ORIC),org_readiness_attitude,Whatever it takes attitude to implement,Rate each of the following statements on a 5-point scale where 1=Disagree and 5=Agree [People who work here will do whatever it takes to implement [intervention].],string,,,1 Disagree|2|3|4|5 Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or4,,"Shea et al., 2014  - Organizational Readiness for Implementing Change: A psychometric assessment of a 
new measure.  Implementation Science 9:7. https://doi.org/10.1186/1748-5908-9-10"
Organizational readiness for implementing change (ORIC),org_readiness_org_support,Confidence in organizational support,Rate each of the following statements on a 5-point scale where 1=Disagree and 5=Agree [People who work here feel feel confident that the organization can support people as they adjust to [intervention].],string,,,1 Disagree|2|3|4|5 Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or5,,"Shea et al., 2014  - Organizational Readiness for Implementing Change: A psychometric assessment of a 
new measure.  Implementation Science 9:7. https://doi.org/10.1186/1748-5908-9-11"
Organizational readiness for implementing change (ORIC),org_readiness_want,Want to implement,Rate each of the following statements on a 5-point scale where 1=Disagree and 5=Agree [People who work here want to implement [intervention]],string,,,1 Disagree|2|3|4|5 Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or6,,"Shea et al., 2014  - Organizational Readiness for Implementing Change: A psychometric assessment of a 
new measure.  Implementation Science 9:7. https://doi.org/10.1186/1748-5908-9-12"
